Epoch	Loss
1	479.2882
2	472.0109
3	463.9896
4	455.0437
5	445.1543
6	434.2552
7	422.4595
8	410.1328
9	397.6135
10	385.0722
11	372.5785
12	360.1668
13	347.8369
14	335.5526
15	323.2826
16	311.0561
17	299.0073
18	287.3514
19	276.2436
20	265.6867
21	255.6094
22	245.9347
23	236.6107
24	227.6142
25	218.9415
26	210.5970
27	202.5841
28	194.8998
29	187.5339
30	180.4727
31	173.7009
32	167.2024
33	160.9595
34	154.9518
35	149.1588
36	143.5681
37	138.1877
38	133.0434
39	128.1575
40	123.5349
41	119.1705
42	115.0563
43	111.1831
44	107.5415
45	104.1221
46	100.9158
47	97.9141
48	95.1087
49	92.4913
50	90.0537
